modelo_id,familia,tag,arquivo,sha256,bytes,imgsz,epochs,metrica,metrica_fonte,quando,origem,copia_canonica
kfblur-lateral-detector-roi/kfold-1/last.pt,kfblur-lateral-detector-roi,kfold-1,last.pt,700945be18b710b17c2a9c5987592c00b08b062747337e6d53d203e9b3f73439,6222634,,,,,,pnaat-modelos/kfblur-lateral-detector-roi/runs/kfold-1/weights/last.pt,kfblur-lateral-detector-roi/kfold-1/last.pt
kfblur-lateral-detector-roi/kfold-2/best.pt,kfblur-lateral-detector-roi,kfold-2,best.pt,624d601c79b391236bc42b4612c8473eb8d6592eea38e84dbfdd177624619fa9,6224298,,,,,,pnaat-modelos/kfblur-lateral-detector-roi/runs/kfold-2/weights/best.pt,kfblur-lateral-detector-roi/kfold-2/best.pt
kfblur-lateral-detector-roi/kfold-2/last.pt,kfblur-lateral-detector-roi,kfold-2,last.pt,3ff8dd39db4ab1a7ee522d312ff64bf2e7d9a6e5d2c43248c3cc007078047316,6224298,,,,,,pnaat-modelos/kfblur-lateral-detector-roi/runs/kfold-2/weights/last.pt,kfblur-lateral-detector-roi/kfold-2/last.pt
kfblur-lateral-detector-roi/kfold-3/best.pt,kfblur-lateral-detector-roi,kfold-3,best.pt,b8bfd63e4b3ce4464640a6760bcd66250620eb013aa46f096f682987ff261978,6223530,,,,,,pnaat-modelos/kfblur-lateral-detector-roi/runs/kfold-3/weights/best.pt,kfblur-lateral-detector-roi/kfold-3/best.pt
kfblur-lateral-detector-roi/kfold-3/last.pt,kfblur-lateral-detector-roi,kfold-3,last.pt,1893e99be74549b5057269656d40b5921e817867185328227463e988fd267c8f,6223530,,,,,,pnaat-modelos/kfblur-lateral-detector-roi/runs/kfold-3/weights/last.pt,kfblur-lateral-detector-roi/kfold-3/last.pt
kfblur-lateral-detector-roi/kfold-4/best.pt,kfblur-lateral-detector-roi,kfold-4,best.pt,d6a65e81297cb44c3fd6100029ed9558d0d97257d160d7a8de9d045fb5ae4534,6226666,,,,,,pnaat-modelos/kfblur-lateral-detector-roi/runs/kfold-4/weights/best.pt,kfblur-lateral-detector-roi/kfold-4/best.pt
kfblur-lateral-detector-roi/kfold-4/last.pt,kfblur-lateral-detector-roi,kfold-4,last.pt,d10406b022fe0b4735808da12f063282c244449349afa5f13aa5d8fa2eaa59b3,6226666,,,,,,pnaat-modelos/kfblur-lateral-detector-roi/runs/kfold-4/weights/last.pt,kfblur-lateral-detector-roi/kfold-4/last.pt
kfcand-lateral-detector-roi/kfold-0/best.pt,kfcand-lateral-detector-roi,kfold-0,best.pt,428098ffa85ef81ff2d63ded35b0a082073696a84e7aae062bd1a901e4e19cb4,6230250,,,,,,pnaat-modelos/kfcand-lateral-detector-roi/runs/kfold-0/weights/best.pt,kfcand-lateral-detector-roi/kfold-0/best.pt
kfcand-lateral-detector-roi/kfold-0/last.pt,kfcand-lateral-detector-roi,kfold-0,last.pt,a676a4913205084548ab8c9d65f7866264f798e42bba8abc8e33bd62b2278770,6230250,,,,,,pnaat-modelos/kfcand-lateral-detector-roi/runs/kfold-0/weights/last.pt,kfcand-lateral-detector-roi/kfold-0/last.pt
kfcand-lateral-detector-roi/kfold-1/best.pt,kfcand-lateral-detector-roi,kfold-1,best.pt,47ca00d82eb1bb7cf5f3c868843b73badd7ce6314785c606602820aa034209b2,6232810,,,,,,pnaat-modelos/kfcand-lateral-detector-roi/runs/kfold-1/weights/best.pt,kfcand-lateral-detector-roi/kfold-1/best.pt
kfcand-lateral-detector-roi/kfold-1/last.pt,kfcand-lateral-detector-roi,kfold-1,last.pt,6bc37d193310cdad31957b27b482bf59dbe561d49d924bfd8775ba5ed7dbc261,6232810,,,,,,pnaat-modelos/kfcand-lateral-detector-roi/runs/kfold-1/weights/last.pt,kfcand-lateral-detector-roi/kfold-1/last.pt
kfcand-lateral-detector-roi/kfold-2/best.pt,kfcand-lateral-detector-roi,kfold-2,best.pt,6445434679a0b4f45d9f821da82a867e05480a1333794fc7ffcf6207e9a91058,6228970,,,,,,pnaat-modelos/kfcand-lateral-detector-roi/runs/kfold-2/weights/best.pt,kfcand-lateral-detector-roi/kfold-2/best.pt
